Job Title,Company Name,description,Posted Date,Job Type,Location
"Python Full-Stack Developer(W2 Position) || Boston, MA (Onsite twice a week)",Anveta Inc,"Title: Python Full-Stack Developer(W2 Position) Location: Boston, MA (Onsite twice a week) Duration: 6+ Months Job Description: Need 9 years of experience in software development.Proficient in Python coding. Experience in Java or C++Experience with Equities, Derivatives, Futures, FX, and/or Fixed Income trading, analytics, and reporting.Broad experience with front-end and server-side, multi-platform development tools and toolkits, especially open-source software.Understanding of financial engin",Posted 28 days ago,Contract,"Remote or Boston, MA, USA"
Python Developer (FullStack) (100% Remote),SPECTRAFORCE TECHNOLOGIES Inc.,"Full Stack Developer (Python) 100% remote 6 Months Pays rate starts from: $100/hr on W2(Negotiable) Must Have: Python/Django, AngularJS Day-to-Day Duties: Working with project managers and clients to develop the overall look and design of a websiteWriting website code with programming languages such as HTML, CSS and JavaScriptProducing, maintaining and modifying websites and user interfacesIncorporating BtD software applications into Digital Platform websitesCreating tools that enhance the us",Posted 4 days ago,Contract,Remote
Python Developer,MHK TECH INC,"Senior Python Software Engineer - We are looking for someone who has worked previously as a Python Software Engineer to help us build and grow our data platform. We are working to build optimized ingestion, ETL/ELT and reporting platforms designed to deliver insights with minimal latency.The ideal candidate should possess most of the following: • Knowledge of OOP principals • Knowledge of Design Patterns • Ability to write advanced coding structures such as decorators, context managers, et",Posted 5 days ago,"Contract, Third Party",Remote
Python Data Engineer,Info Junction LLC,"Job Title: Python Data Engineer Location: Irving, TX Duration: Long term Contract Job Description: Minimum 7 years with Python, SQL and PySpark5+ years of experience with Spark & Pyspark with Big Data ecosystem tools (e.g. Hadoop, Hive) and data processing within the EDL for big data data pipelines, architectures & data setsNice to have experience in Azure Cloud technologies like Azure functions, Azure Apps, Azure Storage, ADF, Databricks3 years experience with Unit testing using PythonWriting w",Posted 7 days ago,"Contract, Third Party","Remote or Irving, TX, USA"
SDET with Python Testing,Precision Technologies Corp,"Job Title : SDET with Python Client Location : Dallas Texas (100% Remote) Duration : 12+Months 9+ years profile Need Job Description: Hands on Python, Automation of HTTP/JSON/REST APIs. Automation with Selenium Django",Posted 21 days ago,"Contract, Third Party",Remote
Python Developer,Elite IT Professionals,"Job Title (Specific Tech Skill/Role) – Python DeveloperAcceptable Work Locations (City, State) – Charlotte, NCRequired Work Authorization ( GCH, Visa) – GCMust Have Skills (Tech Skills and Yrs of Exp) – Minimum 7+ years of experience, strong Python Developer, ability to communicate and work with team, strong working knowledge of database technologies and data processing, SQL and Relation Database developing data extraction applicationsDevice Attestation: BofA Provided Laptop or HVD – HVD Pytho",Posted 19 days ago,Contract,Remote
"DevOps Engineer (GitHub, Groovy, Python)",Randstad Technologies,"job summary: Required Qualifications: Undergraduate degree or equivalent experience.4+ years of professional IT experience (system administration, software development, or a combination), with steadily increasing responsibilities.2+ years of experience designing and building highly distributed, reliable systems.2+ years of experience as a DevOps engineerExperience planning and designing automation CI/CD flowsExperience working with Linux/Unix, Microsoft Azure, and/or KubernetesExperience with J",Posted 1 day ago,Contract,"Remote or Eden Prairie, MN, USA"
Full Stack Developer (Python & Angular),SPECTRAFORCE TECHNOLOGIES Inc.,"Full Stack Developer 100% remote 6 Months Minimum Pays rate: $100/hr. on W2 Only Day-to-Day Duties: Working with project managers and clients to develop the overall look and design of a websiteWriting website code with programming languages such as HTML, CSS and JavaScriptProducing, maintaining and modifying websites and user interfacesIncorporating BtD software applications into Digital Platform websitesCreating tools that enhance the user’s website experienceEnsuring websites are accessibl",Posted 21 hours ago,Contract,Remote
Sr. Python Developer,Vaco Technology,"Vaco is hiring multiple Senior Python, Backend Developers. These opportunities offer the ability to work fully remote within the United States. Details about the role and technical environment: Our primary backend programming language is Python For REST-ful services, we are leveraging FastAPI For relational databases, we like using PostgreSQL. We are comfortable both with or without an ORM - when we do use an ORM, we've leveraged SQLAlchemy in the past. For data engineering, we are leveraging D",Posted 6 days ago,"Full-time, Contract",Remote
Full-Stack Python Developer (JavaScript / React),"IT Associates, Inc.","Python Developer with JavaScript Fulltime with Benefits!100% REMOTEClient is a Software firm located in IL Our client is a well-established, well-funded, Software firm and creator of massively scalable, provision-able memory resource just as fast as local memory. It is easy to configure, requires no application code changes, and utilizes cost-effective commodity servers. Their product is the fastest, most featureful and best value-per-IOPS solid-state storage in the world. If you are passionate",Posted 7 days ago,Full-time,Remote
