Designation,Company Name,Salary,Experience,Location,Role,Skills,Qualification,Industry Type,Functional Area,Employment Type,Role Category,Address,Post By,Post Date,Website,Url,Job Description,About Company
Python Software Developer,Infogain3.8(634 Reviews),Not Disclosed,4 - 6 years,"Noida,Mumbai,Pune,Gurgaon/Gurugram,Bangalore/Bengaluru","Back End Developer,","Algorithms,Data Structures,API Development,AWS,Python,Aws Lambda,Django,AWS ECS,AWS Codebuild,AWS EC2,Flask","['UG :B.Des. in Any Specialization, B.Sc in Any Specialization']","IT Services & Consulting,","Engineering - Software & QA,","Full Time, Permanent",Software Development,"AddressA-16 and A-21,,,SECTOR 60,NOIDA, NOIDA, Uttar Pradesh, India",Nitika SinhaCompany Recruiter at INFOGAIN SOLUTIONS PRIVATE LIMITED, 1 day ago,https://www.naukri.com/infogain-jobs-careers-571?src=jddesktop,https://www.naukri.com/infogain-jobs-careers-571?src=jddesktop,"Job descriptionRoles and Responsibilities Experienced in designing and developing scalable and reliable systemsDeveloping system using microservices architectureExperienced in developing software applications from the scratch using Serverless(AWS) BE / B.Tech / ME / M.Tech / MCA graduates only APPLY TO :  sreekanth.r@infogain.comRoleBack End Developer,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Des. in Any Specialization, B.Sc in Any SpecializationKey SkillsAlgorithmsData StructuresAPI DevelopmentAWSPythonAws LambdaDjangoAWS ECSAWS CodebuildAWS EC2FlaskSkills highlighted with ‘‘ are preferred keyskills","A Silicon-Valley headquartered company, Infogain is a global business oriented IT consulting provider of front-end, customer-facing technologies, processes and applications, leading to a more efficient and streamlined customer experience. We want our clients€™ interactions with their customers to be fast, efficient, and cost effective.With close to 4,000 employees in the United States, India, the Middle East, U.K., Singapore and Malaysia, we service 5 of the world€™s largest 50 companies, and 24 of the Fortune 500. we have million-dollar engagements with over 25 customers, many of which have been with us for 5 years or more.At Infogain, we place a high value on establishing long-term relationships with our clients, ultimately becoming virtual extensions of their organizations. In fact, more than 90% of our medium and large deal size clients from five years ago remain clients today. Why? Our consultants, project managers and engineering teams listen and address our clients€™ specific requirements with best-in-class solutions across a broad spectrum of service areas.Infogain is an Oracle Knowledge Management Expert, having the world€™s largest practice to improve customer support operations and boost satisfaction in High Tech, Insurance, Travel & Hospitality and Retail.We are also a global leader in Oracle Retail€™s customer facing products.For insurance companies, Infogain helps make the claims process more efficient, effective and customer friendly."
"Senior Python Developer (Dask, Airflow, Postgres, Pandas)",Vodafone4.2(14043 Reviews),Not Disclosed,3 - 6 years,Pune,"Software Development - Other,","Airflow,Dask,Pandas,postgres,Python",['UG :Any Graduate'],"Software Product,","Engineering - Software & QA,","Full Time, Permanent",Software Development,"AddressGround to 4th Floor Wing 3 Cluster D,Ground to 1st,  floor Wing 4 Cluster B,EON Kharadi IT and ITES SE, Z,Plot No 1 Survey No 77,Kharadi Pune, PUNE, Maharashtra, India",NA, 2 days ago,https://www.naukri.com/vodafone-jobs-careers-647435?src=jddesktop,https://www.naukri.com/vodafone-jobs-careers-647435?src=jddesktop,"Job descriptionDesired Candidate Profile:looking for a senior data engineer to build our next generation big data processing platform. Candidate will be responsible for designing, implementing and executing ETL process with above mentioned technical tool chain.Extensive experience in Microservices, Rest Services, JPA, Automated unit testing through tools and strong experience with designing and developing REST APIs. Knowledge of architecture and design concepts, object-oriented design and techniques. Hands on experience in building micro services with python and integrating with ab initio, noSQL database, Microsoft Presidio etc. mentioned tools.using Spring Boot, Spring Cloud, Cloud foundry (PCF)/AWS, Docker.Experience in J2EE technologies with, REST APIs, JSON, NoSQL data bases, Hibernate, Messaging, front end technologies CSS, HTML, AngularJS or similar framework, Web & Application Server.Experience in implementing CI/CD build pipelines with tools like Git, Jenkins, Ansible, Maven, Sonar, Artifactory.Good exposure to JMS environment and hand on experience in Rabbit MQ / Active MQ / Kafka.Candidate should be expert in Python in using NumPy and Pandas libraries and data file processing skills with other related python libraries. Candidate should be able to integrate multiple data sources and databases into one system. Candidate should have strong data engineering skills [data parsing, web scraping, data transformation, data integration, etc.Candidate should have knowledge of data analysis tools (for example pandas), NLP tools (for example: spacy, Stanford NLP, etc.Strong programming experience in OOP, Lists, Dictionaries, Multi-level dictionaries, regular expressions, PyUnit, etc. Experience in relational database environments like Environment Oracle, MySQL, PostgreSQL with system-related calls API development etc. and experience in designing database schemas that represent and support business processes.Candidate should have knowledge of user authentication and authorization between multiple systems, servers, and environments. Candidate should have good knowledge and understanding on Google Cloud data processing services like Big Query, Big Table, Cloud Storage, Cloud Dataflow, Cloud function, GCP pub sub.  Job Requirements: Candidate must have hands on experience in Pandas, Airflow, Postgres and Dask.Candidate must have not less than 3 years of experience working as a Senior Python Developer RoleSoftware Development - Other,Industry TypeSoftware Product,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduateKey SkillsAirflowDaskPandaspostgresPythonSkills highlighted with ‘‘ are preferred keyskills",Vodafone Intelligent Solutions is hiring
Python Developer,Bristlecone3.8(321 Reviews),Not Disclosed,5 - 8 years,"Noida,Pune,Bangalore/Bengaluru","Full Stack Developer,","Web Development,Python","['UG :B.Tech/B.E. in Any Specialization', 'PG :MCA in Any Specialization, M.Tech in Any Specialization']","IT Services & Consulting,","Engineering - Software & QA,","Full Time, Permanent",Software Development,"AddressUnit No. 15, 16A, 16B, 17,,2nd Floor,Techniplex - , Goregaon West, PUNE, Maharashtra, India",Pankaj KumarRecruitment Manager at Bristlecone India Limited, 1 day ago,https://www.naukri.com/bristlecone-jobs-careers-27802?src=jddesktop,https://www.naukri.com/bristlecone-jobs-careers-27802?src=jddesktop,"Job description Must Know - SkillsJava with Dropwizard frameworkPython with flask and Fast-API frameworkREST APIMicroservicesDockerGITDevOps concepts including CICD pipelines and integration with GITAWS BasicsAgile MethodologyShould know or quickly be able to adapt to the following toolsSumo LogicGrafanaConfluenceJIRARoleFull Stack Developer,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Tech/B.E. in Any SpecializationPG :MCA in Any Specialization, M.Tech in Any SpecializationKey SkillsWeb DevelopmentPython",www.bristlecone.com
Python Developer,Xoriant4.3(988 Reviews),Not Disclosed,4 - 9 years,"Pune,Bangalore/Bengaluru","Full Stack Developer,","python,Docker,Django,API,MongoDB,React.Js,Angular",['UG :B.Tech/B.E. in Any Specialization'],"IT Services & Consulting,","Engineering - Software & QA,","Full Time, Permanent",Software Development,"Address7TH FLOOR, Tower C, Times Square, Andheri Kurla Road, Marol, Gamdevi, Andheri East, Mumbai Suburban, Maharashtra, 400059, MUMBAI, Maharashtra, India",Apeksha KamalaskarCompany Recruiter at Xoriant Solutions Pvt Ltd, 2 days ago,https://www.naukri.com/xoriant-jobs-careers-71554?src=jddesktop,https://www.naukri.com/xoriant-jobs-careers-71554?src=jddesktop,"Job description Mandatory Technology Skills:At least 4+ years in web development and solid understanding of web technologiesStrong expertise Python Full stack or Golang with data processingMySQL, MongoDB, Snowflake exposureGood understanding of programming algorithms, data structures, etc.Develop RESTful web services, Back-end server development, API developmentMaintain and develop application database integrationGood understanding of Docker, Microservices architectureGood understanding of CI/ CD principlesWork closely with other team membersLearn new technologies quicklyGood understanding of Software development lifecycle and methodology (Waterfall or Agile)Qualifications -Bachelors/Masters in Computer Science, or other relevant degree RoleFull Stack Developer,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Tech/B.E. in Any SpecializationKey SkillspythonDockerDjangoAPIMongoDBReact.JsAngularSkills highlighted with ‘‘ are preferred keyskills","Xoriant Corporation is a product engineering and services company, serving technology startups as well as mid-size to large corporations. We offer a flexible blend of onsite, offsite and offshore services from our Global delivery centers ( Sunnyvale,  New Jersey, Mumbai, Pune, Gurgaon, Kolkata and Bangalore)  with over 2000 software professionals. Xoriant has deep client relationships spanning over 25 years with various clients ranging from startups to Fortune 100 companies.At Xoriant, our expertise in emerging technologies drives our growth.  Our focus on building technology practices in Digital, Cloud, Analytics, DevOps and Security provides excellent opportunities for advanced technical learning and career progression.  Xoriant was voted in the Top 50 Best Information Technology Companies to work for in India €“ 2016 by the Great Place to Work Institute and is proud to be known as one of the few CMMI level companies who focus on emerging technologies.Read our Bloghttp://www.xoriant.com/blog"
Python Programming Language Application Developer,Accenture4.1(32956 Reviews),Not Disclosed,2 - 4 years,Pune,"Full Stack Developer,","Performance tuning,Linux,Agile,SDLC,Python,Business process,Consulting,Data quality,JIRA,Unix shell scripting","['UG :B.Tech/B.E.', 'PG :Post Graduation Not Required']","IT Services & Consulting,","Engineering - Software & QA,","Full Time, Permanent",Software Development,"AddressPlant 3,Godrej and Boyce Compound, MUMBAI, Maharashtra, India",NA, 6 days ago,https://www.naukri.com/accenture-jobs-careers-7682?src=jddesktop,https://www.naukri.com/accenture-jobs-careers-7682?src=jddesktop,"Job description  Key Responsibilities :   A:5 plus years of writing optimized PLSQL code in Oracle database Ability to use UNIX shell scripting extensively to invoke Oracle database procedures and packages, and other utilities including ETL B:2 plus years of UNIX programming experience specifically shell scripting in Linux environment Ability to use tools such as awk, sed, grep and other UNIX utilities C:Must have experience with Data Quality measurement/Scorecards, Control, Remediation along with Data reconciliation technics      Technical Experience :   A:Participates in design, development review and implementation of deliverables B:Experience in performance tuning of a multi-terabyte data warehouse production environment is desirable C:Experience working as part of an Agile team and using Agile SDLC tools Jira, etc is required D:Candidate must be a strong team player/lead with good communication skills E:Strong analytical skills and enjoys solving complex technical problems F:Should be self-motivated and proactive      Professional Attributes :   A: Good analytical problem solving skills B: Good Communication skills C: Ability to work independently with little supervision or as a team  RoleFull Stack Developer,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Tech/B.E.PG :Post Graduation Not RequiredKey SkillsPerformance tuningLinuxAgileSDLCPythonBusiness processConsultingData qualityJIRAUnix shell scriptingSkills highlighted with ‘‘ are preferred keyskills","Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology and Operations services — all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. Our 674,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at accenture.com"
Python Programming Language Application Developer,Accenture4.1(32956 Reviews),Not Disclosed,4 - 6 years,Pune,"Full Stack Developer,","Automation,Linux,Configuration management,Data structures,Python,Business process,NoSQL,Analytical,Consulting","['UG :B.Tech/B.E.', 'PG :Post Graduation Not Required']","IT Services & Consulting,","Engineering - Software & QA,","Full Time, Permanent",Software Development,"AddressPlant 3,Godrej and Boyce Compound, MUMBAI, Maharashtra, India",NA, 6 days ago,https://www.naukri.com/accenture-jobs-careers-7682?src=jddesktop,https://www.naukri.com/accenture-jobs-careers-7682?src=jddesktop,"Job description  Key Responsibilities :   A:Expertise in functional and object-oriented programming, specifically in Python B:Experience in databases relational/document/etc including NoSQL databases C:Strong in Algorithms and Data Structures D:Experience building distributed and scalable complex services as well as robust micro services E:Experience in writing unit tests in pytest or unittest F:Working knowledge of CI/CD pipelines and automation G:Strong sense of ownership, urgency, and drive H:Self-motivated with a strong work eth     Technical Experience :   A: 5plus years of experience working in an Software Engineering/DevOps role B: Strong background in Linux/Unix Administration C: Ability to code in one or more programming/scripting languages D:Experience with automation/configuration management using either Puppet, Chef or an equivalent     Professional Attributes :   A: Good analytical problem solving skills B: Good Communication skills C: Ability to work independently with little supervision or as a team RoleFull Stack Developer,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Tech/B.E.PG :Post Graduation Not RequiredKey SkillsAutomationLinuxConfiguration managementData structuresPythonBusiness processNoSQLAnalyticalConsultingSkills highlighted with ‘‘ are preferred keyskills","Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology and Operations services — all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. Our 674,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at accenture.com"
Python Flask Developer / Sr. Python Flask Developer,Dreambig-it solutions pvt ltd,Not Disclosed,4 - 7 years,"Hyderabad/Secunderabad,Pune,Chennai,Gurgaon/Gurugram,Bangalore/Bengaluru","Full Stack Developer,","Python,Airflow,software development,Sr. Python developer,SQL,GCP,Python development,Microservices Architecture,Pandas,Apache Kafka,software engineer,MongoDB,Spark,AWS,Flask","['UG :Any Graduate', 'PG :Any Postgraduate', 'Doctorate :Doctorate Not Required']","IT Services & Consulting,","Engineering - Software & QA,","Full Time, Permanent",Software Development,Address.,NA, 2 days ago,https://www.naukri.com/premium-jobs-careers-28629?src=jddesktop,https://www.naukri.com/premium-jobs-careers-28629?src=jddesktop,"Job descriptionUrgent Hiring for Python Flask Developer / Sr. Python Flask DeveloperSkills : python, flask, Aws (Experience / Knowledge)Notice Period - Immediate Joiner / Max 20-25 DaysJob Description -An Experienced Full Stack Developer with Strong Hands-On Knowledge on Python , Flask , Pandas LibrariesStrong Foundation of JAVA Spring boot and Microservices Architecture as a backgroundData Streams and Data Pipelines - Apache Kafka/Spark, Airflow and MongoDBPreferably hands on experience either on AWS or GCP (Specially focussing on Native Data Analytics capabilities/services of Cloud )Conversant with Agile WoW.RoleFull Stack Developer,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateDoctorate :Doctorate Not RequiredKey SkillsPythonAirflowsoftware developmentSr. Python developerSQLGCPPython developmentMicroservices ArchitecturePandasApache Kafkasoftware engineerMongoDBSparkAWSFlaskSkills highlighted with ‘‘ are preferred keyskills","DreamBig Aims to grow sustanably and to be a globally respected corporation that provides best solutions, Leveraging Technology."
"Openings For  Sr Developer , Spark, Python, GCP Infosys C2H",Burgeon It Services,"₹ 10,00,000 - 18,00,000 P.A. ",5 - 10 years,"Hyderabad/Secunderabad,Pune,Chennai,Bangalore/Bengaluru,Delhi / NCR,Mumbai (All Areas)","Business Development Executive (BDE),","GCP,Spark,Python",['UG :Any Graduate'],"Software Product,","Sales & Business Development,","Full Time, Permanent",BD / Pre Sales,NA,Vijay PuppalaRecruitment Consultant at Burgeon It Services Pvt Ltd, Just now,https://www.naukri.com/burgeon-it-services-jobs-careers-1136060?src=jddesktop,https://www.naukri.com/burgeon-it-services-jobs-careers-1136060?src=jddesktop,"Job descriptionOpenings for  Sr Developer , Spark, Python, GCP INFOSYS Contract PositionGreetings from Burgeon IT Consulting..!!We have urgent opening for Sr Developer , Spark, Python, GCP 5+ Yrs Exp - who can join immediately or max.30 days.This is a Contract Position with InfosysJob Location: Pan IndiaSkills : Sr Developer , Spark, Python, GCP  Hands-on developer who designs, and delivers Data Warehouses, Data Lake, Self-service tooling, Real-time streaming, and Big Data Solutions for our rapidly growing Supply Chain Operations5+ years of experience in Data Engineering role3+ years of programming experience with at least one language such as Python, Scala, Java, or other modernOOP programing language3+ years experience in writing SQL statements3+ years’ experience with schema design and dimensional data modelingExperience building and optimizing ‘big data’ data pipelines, architectures, and data setsExperienced developing in cloud platforms such as Google Cloud Platform (preferred), AWS, Azure, or Snowflakeat scale. ( GCP is preferred , GCP certification is even better)Experience with real-time data streaming tools like Kafka, Kinesis, Apache Storm, or any similar toolsExperience in designing data engineering solutions using open source and proprietary cloud data pipeline toolssuch as Airflow, dbt, Glue, and BeamExperience in development of custom built BI and big data reporting solutions using tools like Looker, DataStudio,or any similar toolsExperience with code management tools (e.g., Git, SVN) and DevOps tools (e.g., Docker, Jenkins)Excellent communication and presentation skills, strong business acumen, critical thinking, and ability to workcross functionally through collaboration with engineering and business partnersAbility to learn quickly and drive deliverables while maintaining ownership/bias.A team player who is at ease delivering in a group setting.Experience: 5+ yearsInterested candidates please share your updated resume in format to bhargavi@burgeonits.net  , with below detailsTotal Experience:Relevant experience:Current CTC:Expected CTC:Notice Period:Current Company:Date of BirthRoleBusiness Development Executive (BDE),Industry TypeSoftware Product,Functional AreaSales & Business Development,Employment TypeFull Time, PermanentRole CategoryBD / Pre SalesEducationUG :Any GraduateKey SkillsGCPSparkPythonSkills highlighted with ‘‘ are preferred keyskills"," Burgeon is a global Technology & Consulting company specialized on diverse technology platforms i.e. Distributed Networks, Artificial Intelligence, Big Data & IoT, ERP. Its experienced Technical & Functional resources are working across US, Australia, Canada & India in various technologies. Burgeon has offices in Delaware (US), Melbourne (Australia), Hounslow (UK) & Hyderabad (India). With rich, varied experience in technology consulting and giving top quality service continuously, we offer ultimate subjective, on-time and cost-effective software solutions "
Senior Data Engineer - SQL & Python,Zorba Consulting India Pvt. Ltd.,Not Disclosed,3 - 5 years,"Kolkata,Mumbai,Hyderabad/Secunderabad,Pune,Chennai,Ahmedabad,Bangalore/Bengaluru,Delhi / NCR","Data Engineer,","SQL,spark,Analytical,SAS R,SCALA,Relational databases,Infrastructure,Data processing,big data,Catering,Python","['UG :Any Graduate', 'PG :Any Postgraduate', 'Doctorate :Doctorate Not Required']","Advertising & Marketing,","Engineering - Software & QA,","Full Time, Permanent",Software Development,Address.,NA, Just now,https://www.naukri.com/premium-jobs-careers-28629?src=jddesktop,https://www.naukri.com/premium-jobs-careers-28629?src=jddesktop,"Job descriptionWe are looking for a Sr. Data Engineer SQL+Python to join our team on immediate basis (Next 30 days, max) with below mentioned responsibilities :Note - You must be available to join within next 2-4 weeksRoles and Responsibilities : - Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using Python & SQL.- Work with Data Scientists/BI teams to assist with data-related technical issues and support their data processing needs.- Build analytical tools that utilize the data pipeline to provide actionable insights into key business performance metrics.Mandatory Skills : - Proficient in Python (min 4 Yrs) , and SQL.- Good understanding of Relational databases, Big data environments- Proficient in building end-to-end data pipelines.- Experience Handling end to end development of projects without any additional support- Excellent communication skills and proven ability to handle customers.Good to Have : - Any experience with SAS/R- Experience using Rest/Soap apis for data movement.- Any experience with Spark/ScalaRoleData Engineer,Industry TypeAdvertising & Marketing,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateDoctorate :Doctorate Not RequiredKey SkillsSQLsparkAnalyticalSAS RSCALARelational databasesInfrastructureData processingbig dataCateringPythonSkills highlighted with ‘‘ are preferred keyskills",Leading Client
Sr Big Data Developers (Scala/Java/Python),"Hilabs, Inc3.7(10 Reviews)",Not Disclosed,8 - 13 years,"Pune,Bangalore/Bengaluru","Back End Developer,","System architecture,Maven,MySQL,Debugging,Agile,Oracle,Apache,JIRA,Python","['UG :Any Graduate', 'PG :Any Postgraduate']","IT Services & Consulting,","Engineering - Software & QA,","Full Time, Permanent",Software Development,Websitehttps://www.hilabs.com/sr_big_data_developers_Scala_Java_Python.php,NA, 12 days ago,https://www.naukri.com/hilabs-jobs-careers-6245142?src=jddesktop,https://www.naukri.com/hilabs-jobs-careers-6245142?src=jddesktop,"Job description    Full-stack development involving Big Data and back-end tiers   Design and development of robust application tier and backend architecture using big data platform technologies   Creation of highly modular and reusable components/APIs as per the business needs   Managing the complete software development process from conception to deployment   Collaborating with and guiding the team on writing, building, and deployment of software    Following best design and development practices to ensure high quality of software   Design, build and maintain efficient, secure, reusable, and reliable code   Perform code reviews, testing, and debugging      Desired Profile:      Bachelors or Masters degrees in Computer science, Mathematics, or any other quantitative discipline   8 years of experience in developing Big Data applications   Strong experience working with Big Data technologies like Spark (Scala/Java),   Apache Solr, HIVE, HBase, ElasticSearch, MongoDB, Airflow, Oozie, etc.    Experience working with Relational databases like MySQL, SQLServer, Oracle etc.   Good understanding of large system architecture and design   Experience working in AWS/Azure cloud environment is a plus   Experience using Version Control tools such as Bitbucket/GIT code repository   Experience using tools like Maven/Jenkins, JIRA   Experience working in an Agile software delivery environment, with exposure to continuous integration and continuous delivery tools   Passionate about technology and delivering solutions to solve complex business problems    Great collaboration and interpersonal skills   Ability to work with team members and lead by example in code, feature development, and knowledge sharing    RoleBack End Developer,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsSystem architectureMavenMySQLDebuggingAgileOracleApacheJIRAPython","Our mission is to put healthcare organizations in the driver seat for data-driven healthcare decision makingWe believe that the no one knows healthcare data better than the healthcare organizations that create it. However, healthcare organizations often lack the tools to generate insights from this data. Statisticians, data scientists and technology gurus can create tools, but these tools have no value until merged with the valuable domain knowledge that only healthcare organizations possess. We empower healthcare organizations with data science tools to leverage their deep domain knowledge and generate novel insights from their data."
