Job Title,Company Name,description,Posted Date,Job Type,Location
Sr. Software Engineer,"Gemological Institute of America, Inc. The Robert Mouawad Campus","The Location: We offer a flexible work-from-home schedule, with a few days in the office per month for local candidates in Secaucus, New Jersey. GIA also offers remote opportunities subject to management approval. Upon management approval, we are offering fully remote work (in the states of AZ, CA, CT, DE, HI, ID, IL, LA, MA, MI, MN, NV, NJ, NY, NC, OH, OR, SC, TN, TX, UT and WA). This role may require several visits quarterly to travel to Secaucus, New Jersey to test the software of instrume",Posted 28 days ago,Full-time,Remote
Integration developer - Remote,HireRising,"JOB TITLE: Integration Developer LOCATION: Remote Role Summary: The Integration Developer will help our client build, enhance, and integrate their internal technologies. The Integration Developer will work closely with our client’s internal team to develop a .Net Core integration solution. Essential Duties and Responsibilities: • Develop new integrations using .Net Core, document the code for future enhancements, and document the support process for integrations • Analyze & translate fun",Posted 13 days ago,Contract,Remote
C++ Engineer-REMOTE,Sensiple Inc.,"Sensiple Inc., service offerings include contingent Staff Augmentation of IT professionals, Permanent Recruiting and Temp-to-Hire. In addition, our industry expertise and knowledge within financial services, Insurance, Telecom, Manufacturing, Technology, Media and Entertainment, Pharmaceutical, Health Care and service industries ensures our services are customized to meet specific needs. For more details please visit our website: ;/a> We have been retained for providing recruiting assistance, fo",Posted 15 days ago,"Contract, Third Party",Remote
Hardware Test Design Engineer,Tessolve,"Looking for experienced engineers in the areas of SW Modeling of Hardware, C++/Assembly Test. The candidate will be responsible for definition, implementation, debug, and maintenance of CPU architecture verification test suites utilizing extensive Assembly and C level code and interfacing into a System Verilog simulation environment. This person must interface with designers and micro-architects for ensuring coverage goals are established and realized. Test design will span multiple levels of sy",Posted 47 days ago,Full-time,Remote
Sr. C++ Developer (back-end),IDC Technologies,"Job: Sr. C++ Developer (back-end) Openings: 5Duration: 18-22 monthsTarget Start Date: JanuaryLocation: REMOTE, EST TIME ZONE Required Tech Skills: 8 years or more of C++ DevelopmentExperience in API integrationsSQL Server and T-SQL experienceExperience developing in Windows environmentExperience in Visual Studio developmentThey use Visual Studio for developmentThis is a Windows environmentDesired Business Knowledge: Mortgage Servicing ( A plus to have)",Posted 8 hours ago,"Contract, Third Party",Remote
Embedded Software Engineer,Fast Tracking Solutions,"A historic, Rochester staple in the aerospace and defense manufacturing industry is looking for an embedded engineer to join their team. This position is ideal for someone looking to be involved with progressive aerospace technologies and products. They've recently informed us of a suite of new projects and advanced products they're developing. Working with real-time embedded software, you'll have the chance to collaborate with experienced engineers to explore tactical radio equipment, satellite",Posted 8 days ago,Full-time,"Remote or Rochester, NY, USA"
Senior Embedded Software Engineer - 100% Remote,Intellisoft Technologies,"Role: Senior Embedded Software Engineer Location: 100% remote Our client is seeking a Senior Software Engineer to be responsible for developing highly reliable multi-threaded code in a constrained embedded environment. The right candidate can architect and implement the proper abstractions and interfaces that are needed to allow code to be highly decoupled and cohesive. The position requires taking personal ownership to design, document, communicate, implement, and test software components withi",Posted 13 hours ago,"Contract, Third Party",Remote
.Net Developer,ApTask,"Title: .Net Developer Location: New York, NY (Remote for Now) Duration: 12+ Months Contract to Hire Direct Client Description: .NET Specifications Primary Skills: C#XML, XSLWCF ServicesWPFSQLCI & CD (Agile, JIRA, GIT) Secondary Skills (Good to have): Office Object Model (VSTO, extensibility addin)SharePoint 2013 Details: In-depth knowledge of .NET, XML, XPATH Expressions & XSLTWell versed with SQL Server 2014, XML based queriesExperience in working on ETL processes/messagingExperience in Bi",Posted 18 days ago,Contract,"Remote or New York, NY, USA"
Embedded C++ Developer,Intellisoft Technologies,"Embedded C++Developers 100% Remote, but must travel to Billerica, MA (2-3 times during the entire 6 month contract). Duration: 6 monthsMust-Haves (Concepts & Tools): 1. 7+ years of Embedded SW Engineering Experience 2. STM 32 or Jetson nano board 3. RTOS 4. C++ 5. Linux This is for the embedded team that is working on Alphabot 2.0 (next generation of their bots). They work on small boards on the bots that are made up of FPGAs, STMs and TCP/IP. The bot release date is slated for next June",Posted 6 days ago,"Contract, Third Party",Remote
IOS Developer,SLiQ Information Technologies,"Coding Common Developer Skills- Competent (7+ years) Java or C# or C++ or Objective-C language programming skills. - Competent with SQL or PL/SQL and relational database concepts. - Experience with source code control systems. - Experience with secure programming techniques is highly desirable - Able to perform code reviews to ensure the code meets the acceptance criteria. Mobile Developer- 7+ years of experience in projects using Java, C++, Objective-C, or Swift - 5+ years design, implementatio",Posted 14 days ago,"Contract, Third Party","Remote or McLean, VA, USA"
